ccn,validthru,key,pin,quota
3608-2968-5745-1804,Dec/2025,5065,993,1000
3608-1333-4580-1185,Jan/2025,2377,277,1300
3608-2596-5551-1572,Jul/2024,4107,438,1500
3608-1782-5890-1999,Nov/2021,3195,732,1600
3608-1333-4668-1344,Jun/2024,4154,411,1000
3608-1782-4951-1399,Dec/2025,5509,681,1300
3608-1333-4951-1355,Feb/2023,6988,746,1600
3608-2968-5745-1182,Mar/2020,6017,131,1200
3608-2596-4994-1718,Jun/2022,3439,904,1600
3608-2800-4523-1134,Jul/2024,6597,991,1500
3608-1395-5745-1216,Dec/2018,7460,428,1700
3608-2596-4711-1255,Oct/2024,2167,527,1100
3608-1192-5766-1394,Feb/2020,2019,344,1800
3608-1682-5470-1217,May/2024,3968,655,1600
3608-2067-5489-1134,Aug/2024,7890,929,1800
3608-2596-4158-1361,Jan/2025,7105,251,1500
3608-2181-5691-1839,Feb/2024,6461,343,1300
3608-2181-5638-1300,Jan/2024,6816,961,1600
3608-2800-5015-1617,Jan/2025,7375,878,1300
3608-2596-5632-1637,May/2020,6170,213,1700
3608-1333-5983-1693,Jul/2020,5655,186,1600
3608-1721-5634-1056,Sep/2018,5315,436,1000
3608-1682-4383-1130,Dec/2018,3242,873,1500
3608-2507-5634-1190,Aug/2022,4013,948,1400
3608-2751-5890-1916,Mar/2024,6297,883,1200
3608-2181-4458-1399,May/2021,6270,242,1200
3608-1395-5030-1474,Dec/2020,5983,504,1300
3608-1721-4344-1686,Mar/2023,2332,679,1900
3608-2968-5632-1214,Mar/2020,6409,587,1200
3608-2800-4580-1839,Dec/2023,4826,880,1900
3608-2968-5983-1596,Dec/2023,6986,978,1900
3608-1395-5407-1794,Feb/2022,4721,838,1800
3608-2067-4329-1377,Jan/2025,5472,470,1200
3608-2751-4711-1440,Apr/2019,7244,018,1200
3608-2968-5638-1181,Apr/2022,2887,502,1700
3608-2067-4329-1617,Feb/2020,2256,696,1500
3608-2800-4657-1596,Oct/2024,4645,467,1800
